epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,502.693,0.23415,0.98233,1,0.33612,0.000237237,0.000237237,0.000237237
2,903.178,0.08882,0.97932,1,0.33696,0.000451713,0.000451713,0.000451713
3,1239.85,0.10235,0.96989,1,0.34655,0.000642627,0.000642627,0.000642627
4,1572.84,0.09773,0.97671,1,0.3372,0.000607971,0.000607971,0.000607971
5,2082.63,0.08798,0.97731,1,0.33794,0.000572628,0.000572628,0.000572628
6,2504.32,0.08146,0.98113,1,0.3331,0.000537285,0.000537285,0.000537285
7,2904.18,0.07444,0.98093,1,0.33557,0.000501942,0.000501942,0.000501942
8,3337.48,0.06865,0.97952,1,0.3355,0.000466599,0.000466599,0.000466599
9,3709.28,0.06692,0.98294,1,0.33167,0.000431256,0.000431256,0.000431256
10,4202.39,0.05939,0.98394,1,0.3306,0.000395913,0.000395913,0.000395913
11,4557.5,0.05513,0.98514,1,0.32926,0.00036057,0.00036057,0.00036057
12,4853.04,0.05226,0.98213,1,0.33095,0.000325227,0.000325227,0.000325227
13,5145.45,0.04915,0.98575,1,0.32799,0.000289884,0.000289884,0.000289884
14,5437.53,0.04141,0.98655,1,0.32751,0.000254541,0.000254541,0.000254541
15,5726.1,0.03611,0.98775,1,0.32572,0.000219198,0.000219198,0.000219198
16,6015.71,0.03791,0.98896,1,0.32575,0.000183855,0.000183855,0.000183855
17,6305.12,0.0322,0.98856,1,0.32482,0.000148512,0.000148512,0.000148512
18,6593.91,0.02622,0.98856,1,0.32459,0.000113169,0.000113169,0.000113169
19,6886.11,0.02504,0.98936,1,0.32445,7.7826e-05,7.7826e-05,7.7826e-05
20,7186.65,0.02294,0.98916,1,0.32398,4.2483e-05,4.2483e-05,4.2483e-05
